iter	MultiClass
0	1.093683791
1	1.0856348
2	1.075884084
3	1.066411505
4	1.054495802
5	1.045327637
6	1.033065351
7	1.021586107
8	1.013569939
9	1.006177105
10	0.9975667783
11	0.98993178
12	0.9815864028
13	0.9737308602
14	0.9660954694
15	0.9515721191
16	0.9438489142
17	0.9366570268
18	0.9259842644
19	0.9188768986
20	0.9109087502
21	0.9018605697
22	0.8951339346
23	0.8870393926
24	0.8797643278
25	0.8720871817
26	0.8591968943
27	0.853032335
28	0.842109265
29	0.8298042107
30	0.8209162248
31	0.8122715226
32	0.8046507208
33	0.7933795465
34	0.7891793997
35	0.7779788805
36	0.7698956411
37	0.7641729077
38	0.7573527474
39	0.7523081797
40	0.7459315407
41	0.7427143922
42	0.7378968607
43	0.7332834378
44	0.7257074731
45	0.7199592171
46	0.7126459248
47	0.7044964415
48	0.6980373618
49	0.6899314238
50	0.681046693
51	0.6754069129
52	0.6699720151
53	0.665360544
54	0.6588272319
55	0.6523949431
56	0.6438351432
57	0.6383813909
58	0.6300911013
59	0.6240960391
60	0.6167646856
61	0.6121161776
62	0.6074061761
63	0.6013148648
64	0.5956520489
65	0.5881819418
66	0.5847770148
67	0.5793339965
68	0.5739646913
69	0.5668885692
70	0.5626753367
71	0.5585200603
72	0.5534277097
73	0.5493356166
74	0.5436091899
75	0.5370654622
76	0.5328444244
77	0.5272063703
78	0.5218336956
79	0.5156682406
80	0.5111424982
81	0.5058516186
82	0.5014549765
83	0.4956545455
84	0.4906793313
85	0.4857359774
86	0.4806557719
87	0.4752404773
88	0.4699229792
89	0.4664266254
90	0.4629893017
91	0.4564042185
92	0.4530822339
93	0.4487529746
94	0.4442538903
95	0.4398307123
96	0.4354817436
97	0.4326076766
98	0.4279860925
99	0.4234452646
100	0.4189833464
101	0.4151914841
102	0.4119398086
103	0.4082492432
104	0.4041046682
105	0.4004682992
106	0.3973957827
107	0.3933598039
108	0.3893917494
109	0.3854901065
110	0.3816534027
111	0.3782983023
112	0.3745791993
113	0.3709210449
114	0.366299515
115	0.3630062205
116	0.3599178007
117	0.3564958349
118	0.3531284134
119	0.3506797015
120	0.3481901188
121	0.3449493254
122	0.3408692111
123	0.3384896856
124	0.3361373275
125	0.3330840184
126	0.3302442671
127	0.3279848411
128	0.3257508392
129	0.3228476595
130	0.3203592869
131	0.3184051958
132	0.3159736607
133	0.3135089076
134	0.310782261
135	0.3080961175
136	0.3057352014
137	0.303263201
138	0.300683526
139	0.2984173698
140	0.2965040458
141	0.2942912635
142	0.2921531752
143	0.2900418205
144	0.2876480362
145	0.2853185008
146	0.2832899789
147	0.2815341797
148	0.2792596779
149	0.2770169601
150	0.2750329112
151	0.2730837562
152	0.2711520891
153	0.2695192905
154	0.2676764132
155	0.2655915612
156	0.2635349347
157	0.261588662
158	0.2597041573
159	0.257852415
160	0.2564644587
161	0.2545183367
162	0.2528074348
163	0.2509093629
164	0.2490362807
165	0.2471877333
166	0.2455929426
167	0.2437885066
168	0.2421196508
169	0.2398621814
170	0.2383182358
171	0.2366059288
172	0.2349834733
173	0.2333821753
174	0.2318016328
175	0.2301659698
176	0.2289298705
177	0.2277053322
178	0.226492209
179	0.2249198792
180	0.2233669319
181	0.2218330337
182	0.2203178584
183	0.2184018749
184	0.2169299048
185	0.2154755814
186	0.2140902887
187	0.212668332
188	0.2112632104
189	0.2100247873
190	0.2089677275
191	0.2077546105
192	0.2064064221
193	0.2053805072
194	0.204103815
195	0.203098198
196	0.2014425889
197	0.2003211164
198	0.1992109077
199	0.1981118034
200	0.1968716395
201	0.1956454107
