iter	Passed	Remaining
0	54	54795
1	55	27489
2	55	18402
3	55	13883
4	56	11189
5	56	9354
6	56	8061
7	57	7121
8	57	6353
9	57	5736
10	58	5241
11	58	4821
12	58	4460
13	58	4150
14	59	3881
15	59	3648
16	59	3443
17	59	3258
18	60	3100
19	60	2951
20	60	2820
21	60	2701
22	60	2588
23	61	2494
24	61	2399
25	61	2311
26	61	2232
27	62	2157
28	62	2090
29	62	2028
30	63	1970
31	63	1918
32	63	1867
33	63	1816
34	64	1766
35	64	1723
36	64	1682
37	64	1642
38	65	1604
39	65	1567
40	65	1534
41	65	1500
42	65	1467
43	66	1437
44	66	1408
45	66	1381
46	67	1358
47	67	1333
48	67	1310
49	67	1290
50	68	1267
51	68	1247
52	68	1228
53	68	1207
54	69	1190
55	69	1172
56	69	1155
57	70	1139
58	70	1124
59	70	1108
60	71	1093
61	71	1078
62	71	1066
63	71	1052
64	72	1040
65	72	1028
66	72	1014
67	73	1003
68	73	992
69	73	980
70	73	967
71	74	956
72	74	947
73	74	936
74	75	927
75	75	917
76	75	907
77	75	896
78	76	886
79	76	877
80	76	870
81	76	860
82	77	853
83	77	845
84	77	836
85	77	827
86	78	819
87	78	812
88	78	804
89	78	796
90	79	789
91	79	781
92	79	774
93	79	767
94	79	760
95	80	755
96	80	748
97	80	742
98	80	736
99	81	730
100	81	724
101	81	719
102	82	714
103	82	709
104	82	704
105	82	698
106	83	693
107	83	689
108	83	684
109	83	678
110	84	673
111	84	671
112	84	666
113	85	661
114	85	656
115	85	652
116	85	648
117	86	643
118	86	639
119	86	635
120	86	631
121	87	627
122	87	623
123	87	620
124	88	616
125	88	612
126	88	609
127	88	606
128	89	603
129	89	599
130	89	596
131	90	592
132	90	590
133	90	587
134	91	583
135	91	580
136	91	576
137	91	574
138	92	570
139	92	567
140	92	565
141	93	561
142	93	559
143	93	556
144	93	553
145	94	550
146	94	548
147	94	545
148	95	543
149	95	540
150	95	537
151	95	534
152	96	531
153	96	529
154	96	527
155	96	524
156	97	521
157	97	519
158	97	516
159	97	513
160	98	511
161	98	508
162	98	506
163	98	503
164	99	501
165	99	498
166	99	497
167	99	494
168	100	491
169	100	489
170	100	487
171	100	485
172	101	483
173	101	481
174	101	479
175	101	477
176	102	475
177	102	473
178	102	471
179	103	469
180	103	467
181	103	465
182	103	463
183	104	461
184	104	459
185	104	457
186	104	456
187	105	454
188	105	452
189	105	450
190	106	449
191	106	447
192	106	445
193	106	443
194	107	442
195	107	440
196	107	438
197	107	437
198	108	435
199	108	434
200	108	432
201	109	430
202	109	429
203	109	428
204	110	428
205	110	427
206	111	427
207	111	426
208	112	425
209	112	425
210	113	424
211	114	424
212	114	424
213	115	422
214	115	421
215	115	420
216	116	419
217	116	419
218	117	418
219	118	418
220	118	418
221	119	418
222	119	416
223	120	416
224	120	415
225	121	414
226	121	414
227	122	413
228	122	413
229	123	413
230	123	412
231	124	411
232	124	410
233	124	409
234	125	408
235	125	407
236	126	406
237	126	405
238	127	405
239	127	405
240	128	405
241	129	404
242	129	404
243	130	403
244	130	403
245	131	402
246	132	402
247	132	402
248	133	401
249	133	400
250	133	399
251	134	397
252	134	397
253	134	396
254	135	395
255	135	394
256	136	393
257	136	393
258	137	392
259	137	391
260	137	390
261	138	390
262	138	389
263	139	388
264	140	388
265	140	388
266	141	388
267	141	387
268	142	386
269	142	385
270	143	384
271	143	383
272	143	382
273	144	382
274	144	381
275	145	381
276	146	381
277	146	380
278	146	379
279	147	378
280	147	378
281	148	378
282	148	377
283	149	377
284	150	376
285	150	375
286	150	375
287	151	373
288	151	373
289	152	372
290	152	371
291	153	371
292	153	370
293	154	370
294	154	369
295	155	369
296	155	369
297	156	369
298	157	368
299	157	367
300	157	366
301	158	365
302	158	365
303	159	364
304	159	364
305	160	363
306	160	363
307	161	362
308	161	362
309	162	361
310	163	361
311	163	360
312	163	359
313	164	358
314	164	358
315	165	357
316	165	357
317	166	356
318	167	356
319	167	355
320	167	355
321	168	354
322	168	354
323	169	353
324	170	353
325	170	352
326	171	352
327	171	351
328	171	350
329	172	349
330	172	349
331	173	348
332	174	348
333	174	348
334	175	347
335	175	346
336	176	346
337	176	345
338	177	345
339	177	345
340	178	344
341	178	343
342	179	342
343	179	342
344	180	342
345	180	341
346	181	340
347	181	340
348	181	339
349	182	339
350	183	338
351	183	338
352	184	337
353	184	337
354	185	337
355	186	336
356	186	336
357	187	335
358	187	334
359	188	334
360	188	333
361	188	332
362	188	331
363	189	330
364	189	329
365	189	328
366	190	327
367	190	327
368	190	326
369	191	325
370	191	324
371	191	323
372	191	322
373	192	321
374	192	321
375	193	320
376	193	319
377	193	318
378	194	318
379	194	317
380	194	316
381	194	315
382	195	314
383	195	313
384	195	312
385	196	311
386	196	311
387	196	310
388	197	309
389	197	308
390	197	308
391	198	307
392	198	306
393	198	305
394	199	304
395	199	303
396	199	303
397	199	302
398	200	301
399	200	301
400	201	300
401	201	299
402	201	298
403	202	298
404	202	297
405	202	296
406	202	295
407	203	294
408	203	294
409	204	293
410	204	293
411	204	292
412	205	291
413	205	290
414	205	290
415	206	289
416	206	288
417	206	287
418	206	286
419	207	285
420	207	285
421	207	284
422	208	284
423	208	283
424	208	282
425	209	281
426	209	280
427	209	280
428	209	279
429	210	278
430	210	277
431	210	277
432	211	276
433	211	275
434	211	275
435	212	274
436	212	273
437	212	273
438	213	272
439	213	271
440	213	270
441	214	270
442	214	269
443	214	268
444	215	268
445	215	267
446	215	266
447	215	265
448	215	265
449	216	264
450	216	263
451	216	262
452	217	262
453	217	261
454	218	261
455	218	260
456	218	259
457	218	259
458	219	258
459	219	257
460	219	256
461	219	256
462	220	255
463	220	254
464	220	253
465	220	253
466	221	252
467	221	251
468	221	251
469	222	250
470	222	250
471	222	249
472	223	248
473	223	247
474	223	247
475	223	246
476	224	245
477	224	245
478	224	244
479	224	243
480	225	243
481	225	242
482	225	241
483	226	241
484	226	240
485	226	239
486	227	239
487	227	238
488	227	238
489	228	237
490	228	236
491	228	236
492	229	235
493	229	234
494	229	234
495	229	233
496	230	232
497	230	232
498	230	231
499	230	230
500	231	230
501	231	229
502	231	228
503	231	228
504	232	227
505	232	227
506	233	226
507	233	226
508	233	225
509	234	224
510	234	224
511	234	223
512	235	223
513	235	222
514	235	221
515	236	221
516	236	220
517	236	220
518	236	219
519	237	218
520	237	218
521	237	217
522	237	216
523	238	216
524	238	215
525	238	215
526	239	214
527	239	213
528	239	213
529	240	212
530	240	212
531	240	211
532	240	211
533	241	210
534	241	210
535	241	209
536	242	208
537	242	208
538	242	207
539	243	207
540	243	206
541	243	205
542	244	205
543	244	204
544	244	204
545	245	203
546	245	203
547	245	202
548	245	201
549	246	201
550	246	200
551	246	200
552	246	199
553	247	199
554	247	198
555	247	198
556	248	197
557	248	196
558	248	196
559	248	195
560	249	195
561	249	194
562	249	193
563	250	193
564	250	192
565	250	192
566	250	191
567	251	190
568	251	190
569	251	189
570	251	189
571	251	188
572	252	187
573	252	187
574	252	186
575	252	186
576	253	185
577	253	184
578	253	184
579	253	183
580	254	183
581	254	182
582	254	182
583	255	182
584	255	181
585	256	180
586	256	180
587	256	179
588	257	179
589	257	179
590	257	178
591	258	178
592	258	177
593	258	176
594	259	176
595	259	175
596	259	175
597	260	174
598	260	174
599	260	173
600	260	173
601	261	172
602	261	172
603	261	171
604	262	171
605	262	170
606	262	170
607	262	169
608	263	169
609	263	168
610	264	168
611	264	167
612	264	167
613	264	166
614	265	166
615	265	165
616	265	165
617	266	164
618	266	164
619	266	163
620	267	163
621	267	162
622	267	162
623	268	161
624	268	161
625	268	160
626	268	159
627	269	159
628	269	158
629	269	158
630	270	157
631	270	157
632	270	156
633	270	156
634	271	155
635	271	155
636	271	154
637	271	154
638	272	153
639	272	153
640	272	152
641	272	152
642	273	151
643	273	151
644	273	150
645	273	150
646	274	149
647	274	149
648	274	148
649	275	148
650	275	147
651	275	147
652	275	146
653	276	146
654	276	145
655	276	145
656	277	144
657	277	144
658	277	143
659	277	143
660	278	142
661	278	142
662	279	141
663	279	141
664	279	140
665	280	140
666	280	140
667	280	139
668	281	139
669	281	138
670	282	138
671	282	137
672	282	137
